MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,AAATECH,AAA TECHNOLOGIES LIMITED,42.25,42.25,42.25,42.25,42.25,253500,6000, ,48,42.2
N,SM,ABINFRA,A B INFRABUILD LIMITED,5.45,5.7,5.7,5.7,5.7,68400,12000, ,12.5,5
N,SM,AHLADA,AHLADA ENGINEERS LIMITED,80.2,83.95,84.2,80.55,84.15,500800,6000, ,93.4,39
N,SM,AIROLAM,AIRO LAM LIMITED,25,26.9,27,26.9,26.95,161700,6000, ,30,14.45
N,SM,AISL,ANI INTEGRATED SERV LTD.,23.35,24.4,24.5,23.05,24.5,115740,4800, ,28.55,14.3
N,SM,AJOONI,AJOONI BIOTECH LIMITED,29.95,28.5,31.35,28.5,30.05,841600,28000, ,36.5,6.35
N,SM,AKG,AKG EXIM LIMITED,73.25,75,80,75,80,2952320,38400, ,80,32
N,SM,AMJUMBO,A AND M JUMBO BAGS LTD,13.8,13.15,14.4,13.15,14.25,888000,64000, ,14.4,5.85
N,SM,AURDIS,AURANGABAD DISTILLERY LTD,30.4,31,31,31,31,62000,2000, ,38.95,25.8
N,SM,BCONCEPTS,BRAND CONCEPTS LIMITED,21,20.5,22.05,20.5,22.05,319050,15000, ,28.45,13.7
N,SM,BETA,BETA DRUGS LIMITED,117.6,117.8,122,117.8,119.05,1437760,12000, ,140.8,37
N,SM,BOHRA,BOHRA INDUSTRIES LIMITED,1.45,1.5,1.5,1.5,1.5,3000,2000, ,2.3,0.35
N,SM,BRIGHT,BRIGHT SOLAR LIMITED,7.75,7.75,8.1,7.5,7.6,352650,45000, ,14.75,4.7
N,SM,BTML,BODHI TREE MULTIMEDIA LTD,75,75,80,73,80,830340,10800, ,96,68.5
N,SM,CADSYS,CADSYS (INDIA) LIMITED,23.65,23,23,23,23,46000,2000, ,37.5,15.5
N,SM,CMMIPL,CMM INFRAPROJECTS LIMITED,2.95,3.05,3.05,3.05,3.05,36600,12000, ,9.25,2.25
N,SM,DEVIT,DEV INFO TECHNOLOGY LTD,125.4,124,124,124,124,186000,1500, ,139.55,57
N,SM,DRSDILIP,DRS DILIP ROADLINES LTD.,69.15,70,70,70,70,1008000,14400, ,78,60
N,SM,DSML,DEBOCK SALE MARKETING LTD,12.55,11.95,11.95,11.95,11.95,71700,6000, ,21.95,3.5
N,SM,E2E,E2E NETWORKS LIMITED,50.6,52,53.1,50,53.05,1348200,26000, ,57.95,13.3
N,SM,EMKAYTOOLS,EMKAY TAP & CUT. TOOL LTD,115,110,110,110,110,132000,1200, ,164.75,58.65
N,SM,FELIX,FELIX INDUSTRIES LTD.,36.95,35.95,35.95,35.95,35.95,143800,4000, ,40.3,10.8
N,SM,FOCUS,FOCUS LIGHTG & FIXTRS LTD,20.75,20.1,21.75,20.05,21.75,185700,9000, ,35.7,15.5
N,SM,GANGAFORGE,GANGA FORGING LIMITED,28.4,28.7,30.9,28.3,30.7,2998200,102000, ,30.9,8.7
N,SM,HINDCON,HINDCON CHEMICALS LIMITED,25.25,25.5,25.5,25.5,25.5,102000,4000, ,27,8.05
N,SM,INNOVANA,INNOVANA THINKLABS LTD.,77.45,77.45,77.45,75.1,75.1,227700,3000, ,137.95,70.25
N,SM,INNOVATIVE,INNOVATIVE TYRES & TUBES,9.5,9.05,9.05,9.05,9.05,54300,6000, ,13.2,5.4
N,SM,IRISDOREME,IRIS CLOTHINGS LIMITED,50,45,45,45,45,252000,5600, ,192,28.5
N,SM,JALAN,JALAN TRANSOLU. INDIA LTD,2.95,2.9,2.9,2.85,2.85,34350,12000, ,6.65,2.75
N,SM,JETFREIGHT,JET FREIGHT LOGISTICS LTD,13.95,14,14,13.95,13.95,111800,8000, ,17.75,11.9
N,SM,JETKNIT,JET KNITWEARS LTD.,27.8,29.15,29.15,26.45,26.45,575775,21000, ,29.15,19
N,SM,KSHITIJPOL,KSHITIJ POLYLINE LIMITED,25.2,25,26,24.8,26,606800,24000, ,33.75,19.2
N,SM,LAGNAM,LAGNAM SPINTEX LIMITED,10.55,11.05,11.05,11.05,11.05,66300,6000, ,12.5,6.6
N,SM,LEXUS,LEXUS GRANITO (INDIA) LTD,19.5,18.55,18.6,18.55,18.55,222650,12000, ,21.7,4.55
N,SM,MANAV,MANAV INFRA PROJECTS LTD,4.2,4.4,4.4,4.4,4.4,17600,4000, ,5.5,4.2
N,SM,MARSHALL,MARSHALL MACHINES LTD,12,12.6,12.6,11.55,12.35,481800,39000, ,18,4.85
N,SM,MDL,MARVEL DECOR LIMITED,24.7,23.5,23.5,23.5,23.5,47000,2000, ,28.2,16.5
N,SM,MHHL,MOHINI HEALTH&HYGIENE LTD,20.55,21.4,21.55,20.75,21,636300,30000, ,23.2,11.35
N,SM,MITCON,MITCON CON & ENG SERV LTD,39,40.5,40.95,39.15,39.15,1871000,46000, ,43,36.5
N,SM,OSWALSEEDS,SHREEOSWAL S AND CHE LTD,41.25,39.2,41.25,39.2,41.25,651800,16000, ,50.45,21.8
N,SM,PANSARI,PANSARI DEVELOPERS LTD.,22.3,22.15,22.5,22,22.25,4670700,210000, ,23.1,21
N,SM,PAR,PAR DRUGS AND CHEM LTD,71.5,73,73,73,73,730000,10000, ,74.8,26.2
N,SM,PENTAGOLD,PENTA GOLD LIMITED,59,59,59.9,59,59.45,533700,9000, ,59.9,15.4
N,SM,PIGL,POWER INSTRUMENT (G) LTD,10.7,11.2,11.2,11.2,11.2,44800,4000, ,11.2,8.05
N,SM,RAJMET,RAJNANDINI METAL LIMITED,30,30.05,30.05,30.05,30.05,240400,8000, ,41.3,23.85
N,SM,RMDRIP,R M DRIP & SPRINK SYS LTD,41.3,43.95,44,40,41.75,1675600,40000, ,63,14.65
N,SM,RPPL,RAJSHREE POLYPACK LTD,111.95,111.95,111.95,110,110,333900,3000, ,111.95,47.75
N,SM,SARVESHWAR,SARVESHWAR FOODS LIMITED,13.1,12.75,12.75,12.75,12.75,20400,1600, ,19.15,8.45
N,SM,SHUBHLAXMI,SHUBHLAXMI JEWEL ART LTD,23.2,24.35,24.35,24.35,24.35,243500,10000, ,52.25,12.05
N,SM,SIKKO,SIKKO INDUSTRIES LIMITED,26.8,28,28,28,28,112000,4000, ,33.8,18
N,SM,SILVERTUC,SILVER TOUCH TECHNO LTD,92,92,92,92,92,184000,2000, ,123.95,81
N,SM,SKSTEXTILE,S K S TEXTILES LIMITED,24.7,24.7,25.85,23.75,25.4,174250,7000, ,48.9,22.1
N,SM,SOFTTECH,SOFTTECH ENGINEER LIMITED,89.75,91,93,90,91.75,1313200,14400, ,93,32.45
N,SM,SONAMCLOCK,SONAM CLOCK LIMITED,62.5,63,63,63,63,2268000,36000, ,63.25,30.8
N,SM,SSINFRA,S S INFRA DEVP CONSL LTD,8.5,8.5,8.5,8.5,8.5,25500,3000, ,14.45,5.65
N,SM,SVLL,SHREE VASU LOGISTICS LTD,88,88.45,88.45,88.45,88.45,88450,1000, ,105.45,70
N,SM,THEJO,THEJO ENGINEERING LIMITED,1123,1150,1179.8,1142,1142,698380,600, ,1468.5,350.55
N,SM,TIRUPATI,SHREE TIRUPATI BALAJEE,49.45,51.9,51.9,51.9,51.9,155700,3000, ,51.9,22.4
N,SM,UNIINFO,UNIINFOTELECOMSERVILTD,25.9,25,25,25,25,50000,2000, ,32.15,7.85
N,SM,UNITEDPOLY,UNITED POLYFAB GUJ. LTD.,27.4,28.75,28.75,28.75,28.75,86250,3000, ,28.75,5.95
N,SM,VASA,VASA RETAIL & OVERSEA LTD,5.7,5.45,5.45,5.45,5.45,21800,4000, ,12.2,5
N,SM,VSCL,VADIVARHE SPCLTY CHEM LTD,16.25,17,17.05,17,17.05,102150,6000, ,17.8,5.85
